system:index,Class,Image,mod_area,mod_bgr_post,mod_bgr_pre,rap_area,rap_bgr_post,rap_bgr_pre,.geo
0000000000000000115e_0000000000000000115e,1,1,2489.522700543821,1211.4923959862726,1588.0563306316506,2485.7825672652257,487.96044445251636,715.0263161195605,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000115f_0000000000000000115f,1,1,2491.264818838849,1906.5957882131675,1807.373382386142,2487.4125358758815,965.6767742421736,1138.0059934118865,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001160_00000000000000001160,1,1,2490.3602913664167,1627.7906469787235,1635.062208790597,2486.50244496333,1194.122909156542,1314.5106325733746,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001161_00000000000000001161,1,1,2493.3654779825265,730.782287375769,1003.9219140280155,2489.5443373788594,103.11311889545588,172.75165390781638,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001162_00000000000000001162,1,1,2495.7797225796558,782.9416969861118,857.4358665703589,2493.7917393060866,238.32743329065414,269.90347086113655,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001163_00000000000000001163,1,1,2481.260913270521,993.6154988872887,1083.3886152110592,2493.220072993763,82.17167787719808,149.02424137771874,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001164_00000000000000001164,1,1,2479.1613696706445,794.7937195622023,900.5188818434445,2491.6616661190974,361.22086625746823,522.443817925747,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001165_00000000000000001165,1,1,2493.494352279408,630.1792011685206,758.2637224588975,2489.8112445190864,97.56896435947834,221.73949910095067,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001166_00000000000000001166,1,1,2491.2927531265236,768.0267513673655,883.0003517601164,2489.330980339585,283.6197490426176,320.4875631003645,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001167_00000000000000001167,1,1,2492.4793695695544,561.1386296062987,679.329932881849,2488.7183429270603,164.38305537065986,223.5672443432858,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001168_00000000000000001168,1,1,2489.727171271448,1704.71763044184,1775.7330276644602,2487.5935137068054,335.85790710301626,329.81156104972126,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001169_00000000000000001169,1,1,2492.8470313265957,733.7356241386399,845.9883266717608,2488.9952388564943,171.88680052073022,235.53673385902266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000116a_0000000000000000116a,1,1,2489.4170801684977,1798.6356802791943,1788.7535823642377,2487.4237842819657,306.06606633746287,277.5102989748581,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000116b_0000000000000000116b,1,1,2490.2840228645773,1698.116257934399,1669.9124202020716,2486.4289656679957,1310.927507266087,1411.7215644222053,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000116c_0000000000000000116c,1,1,2477.014664243251,1713.627860726427,1751.4927383483903,2489.450849071015,930.2815395319743,1089.9931076113535,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000116d_0000000000000000116d,1,1,2474.002691060039,1912.8736651831337,1949.7933650138827,2484.6820612526953,905.1487773568632,985.7015698963495,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000116e_0000000000000000116e,1,1,2495.372296864281,652.9333452150335,634.2417140162585,2493.4003366861816,73.74001689474574,82.52999485984257,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000116f_0000000000000000116f,1,1,2495.0285268367024,659.5645170314193,685.9175959693407,2491.1508178447516,119.87383189182088,101.60786808474889,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001170_00000000000000001170,1,1,2493.1219445649535,825.8166361548226,912.1788454678818,2489.2984705100503,209.00566668540935,332.37986548709057,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001171_00000000000000001171,1,1,2474.6382654656773,814.2438482817677,994.8674408771774,2485.199669772451,538.426165582056,634.9431327035467,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001172_00000000000000001172,1,1,2491.067094551158,1645.1945919975394,1627.7041222940904,2487.1576535251056,898.17864970736,1000.4373239277779,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001173_00000000000000001173,1,1,2494.6287727236595,1382.0284083110414,1467.5920718227435,2492.6559381117877,1085.8507776819317,1241.2641922594403,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001174_00000000000000001174,1,1,2495.5167859620024,971.0707487738846,917.2228684687831,2493.251105354701,339.30979061608485,453.7751742815321,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001175_00000000000000001175,1,1,2490.0386853109726,2287.0583302719383,2275.532020335183,2486.2872555136696,684.6443429214039,668.7545510367091,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001176_00000000000000001176,1,1,2480.457720661766,569.2472103402021,654.1756883530084,2489.0894123896633,157.21523547284994,157.6532476924316,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001177_00000000000000001177,1,1,2481.0483077696063,774.8157918898903,797.0301304611828,2487.3367812220386,241.6145850720015,287.5094891179968,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001178_00000000000000001178,1,1,2488.5657929886697,429.78484239594655,441.29576704609576,2486.5681350291075,180.34163717238536,180.27244922302876,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001179_00000000000000001179,1,1,2495.7425864552765,797.5017909089863,862.7547418046873,2493.7537013414494,239.61938346867822,397.7981086992749,"{""type"":""MultiPoint"",""coordinates"":[]}"
